"CountryNum","StateNum","Route","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","year","grasslands"
840,2,1,"ST FLORIAN",1,34.873263,-87.604225,14,27,1,1,2011,0.0108718633505814
840,2,2,"HILLSBORO",0,34.6386747,-87.1912919,14,24,1,1,2011,0.0119839749172618
840,2,3,"FLORENCE",0,34.8,-87.7333333,14,24,1,1,2011,NA
840,2,4,"TRADE",1,34.0297881,-87.0592352,13,28,1,1,2011,0.0148239793049151
840,2,5,"SUMMITT",0,34.2016687,-86.4934089,13,28,1,1,2011,0.0197596006480711
840,2,6,"VALHERMOSO SPGS",0,34.5012877,-86.6855493,14,24,1,1,2011,0.0049310216256525
840,2,7,"SWAIM",1,34.8680404,-86.2030371,14,24,1,1,2011,0.000997747658750543
840,2,8,"PINE GROVE",1,34.0278089,-85.7110414,13,28,1,1,2011,0.0537075908156271
840,2,9,"DAWSON",0,34.3039507,-85.9267589,13,28,1,1,2011,0.01063239842167
840,2,10,"MILLERVILLE",1,33.1913463,-85.9258408,11,29,1,1,2011,0.0515913337048084
840,2,11,"DEARMANVILLE",0,33.6257237,-85.7518379,13,28,1,1,2011,0.025080003878976
840,2,12,"SUNNY EVE",1,33.6076572,-85.7511714,13,28,1,1,2011,0.00405612075270962
840,2,13,"GREENSPORT",1,33.8116977,-86.1153789,13,28,1,1,2011,0.027906976744186
840,2,14,"SMYER LAKE",1,33.4549551,-86.6010915,13,28,1,1,2011,0.0518778044133014
840,2,15,"MT OLIVE",1,33.6822947,-86.8721632,13,28,1,1,2011,0.0438384314061262
840,2,16,"HOWARD",1,33.8481773,-87.5888357,13,27,1,1,2011,0.0293643313435962
840,2,17,"MAYTOWN",1,33.5263185,-87.0044623,13,28,1,1,2011,0.0163849811660572
840,2,18,"MARVEL",0,33.15,-87,4,28,1,1,2011,NA
840,2,19,"LIBERTY",1,33.4765537,-88.1712189,4,27,1,1,2011,0.0506093609549094
840,2,20,"RIDERWOOD",1,32.1307226,-88.3172665,4,27,1,1,2011,0.0571314876925701
840,2,21,"LINDEN",1,32.2782397,-87.8359539,4,27,1,1,2011,0.0753912073281641
840,2,22,"HARRELL",1,32.442715,-87.2158334,4,27,1,1,2011,0.0394219404749114
840,2,23,"GREENSBORO",1,32.7846996,-87.5153953,4,27,1,1,2011,0.0758415435139573
840,2,24,"SPRAGUE",1,32.1312407,-86.2754989,4,27,1,1,2011,0.0470457148163051
840,2,25,"BILLINGSLEY",1,32.6594297,-86.7017714,4,27,1,1,2011,0.0424561066051144
840,2,26,"WALLSBORO",1,32.579684,-86.154165,4,27,1,1,2011,0.0165730481834579
840,2,27,"WARRIOR STD",1,32.3116131,-85.5530853,4,27,1,1,2011,0.0274859033311833
840,2,28,"LANETT",1,32.8854647,-85.2044589,11,29,1,1,2011,0.0348752072700648
840,2,29,"COTTONTON",1,32.148474,-85.074576,4,27,1,1,2011,0.0323892126304377
840,2,30,"NEWTON",1,31.3388298,-85.5895835,4,27,1,1,2011,0.0128542434037435
840,2,31,"GRANGEBURG",1,31.0081277,-85.2112631,4,27,1,1,2011,0.0050870475087938
840,2,32,"BRUNDIDGE",1,31.7165541,-85.8156189,4,27,1,1,2011,0.0130854074031299
840,2,33,"BRANTLEY",1,31.5859083,-86.250378,4,27,1,1,2011,0.03021952881125
840,2,34,"SOUTH",1,31.4439507,-86.6131969,4,27,1,1,2011,0.0695570870277766
840,2,35,"MCLELLAN",1,30.9977072,-86.8858316,4,27,1,1,2011,0.0761035999348428
840,2,36,"BEATRICE",1,31.7399574,-87.2090516,4,27,1,1,2011,0.0378091872791519
840,2,37,"LATHAM",0,31.098534,-87.831235,4,27,1,1,2011,0.056885605448459
840,2,38,"CASTLEBERRY",1,31.3180673,-87.1203132,4,27,1,1,2011,0.111181015452539
