"pt_id","line_id","RouteName","RTENAME"
5234,3593,"ALTON 2","ALTON"
5235,3585,"Wellington 3","WELLINGTON"
5327,3636,"TAYLORSTOWN 2","TAYLORSTOWN"
5329,3656,"CARTERS BRDG 2","CARTERS BRDG"
5334,3681,"Hebron 2","HEBRON"
5360,3712,"IRON MOUNTAIN 2","IRON MTN."
5361,3712,"IRON MOUNTAIN 3","IRON MTN."
5362,3710,"Dismal Swamp 2","DISMAL SWAMP"
5449,3719,"WARM BEACH 2","WARM BEACH"
5453,3755,"Ewan 2","EWAN"
5464,3804,"MENDOTA 3","MENDOTA 2"
5614,3897,"Land O' Lakes 2","LAND O LAKES"
5753,4010,"Patrick Draw 2","PATRICK DRAW"
5754,4011,"Savery 2","SAVERY"
5764,4080,"ROCK SPRINGS 2","ROCK SPRINGS"
5771,4010,"Patrick Draw 3","PATRICK DRAW"
5773,4101,"CARTER 2","CARTER"
5774,4102,"Seedskadee 2","SEEDSKADEE"
5775,3994,"COLTER BAY 2","COLTER BAY"
5776,4010,"Patrick Draw 4","PATRICK DRAW"
5778,4010,"Patrick Draw 5","PATRICK DRAW"
5779,4010,"Patrick Draw 6","PATRICK DRAW"
