"pt_id","name_clean","line_id","dist_start","dist_end","dist_closer_endpoint","CountryNum","StateNum","Route","RouteName","Active","Stratum","BCR","RouteTypeID","RouteTypeDetailID","name_clean.pt","rteno","RTENAME","SUM_ARC_LE","MIN_rte_le","MAX_rte_le","MIN_date_a","MAX_date_a","name_clean.line"
4934,"morton",3330,1092.12012547384,36846.5817218078,1092.12012547384,840,"83","056","MORTON",1,4,25,1,1,"morton",83056,"MORTON",38283.4,38283.4,38283.4,1998,1998,"morton"
4943,"graford",3339,1207.7981566624,25354.3425032123,1207.7981566624,840,"83","065","GRAFORD",1,33,21,1,1,"graford",83065,"GRAFORD",37079.3,37079.3,37079.3,1998,1998,"graford"
4953,"gainesville",3349,3348.39432342266,39531.2091687166,3348.39432342266,840,"83","075","GAINESVILLE",1,8,21,1,1,"gainesville",83075,"GAINESVILLE",42390.2,42390.2,42390.2,1998,1998,"gainesville"
4957,"weinert",3353,20439.6692452265,20439.7014300573,20439.6692452265,840,"83","079","WEINERT",0,54,19,1,1,"weinert",83079,"WEINERT",41497.375,41497.38,41497.38,2001,2001,"weinert"
4960,"hot springs",3356,1034.84009767371,39547.1331413589,1034.84009767371,840,"83","082","HOT SPRINGS",1,56,35,1,1,"hot springs",83082,"HOT SPRINGS",38876.6,38876.6,38876.6,1998,1998,"hot springs"
4964,"rankin",3360,1594.5709778272,38547.7131050444,1594.5709778272,840,"83","086","RANKIN",1,56,18,1,1,"rankin",83086,"RANKIN",38312.2,38312.2,38312.2,1998,1998,"rankin"
4968,"delaware crk",3364,4226.18903176624,34897.4971471921,4226.18903176624,840,"83","090","DELAWARE CRK",1,56,35,1,1,"delaware crk",83090,"DELAWARE CRK",38550.6,38550.6,38550.6,1998,1998,"delaware crk"
4978,"channing",3374,41127.5590102637,1973.58502640792,1973.58502640792,840,"83","100","CHANNING",0,54,18,1,1,"channing",83100,"CHANNING",39855.9,39855.9,39855.9,1998,1998,"channing"
4980,"texline",3376,2034.50905773096,47712.3115533373,2034.50905773096,840,"83","102","TEXLINE",1,55,18,1,1,"texline",83102,"TEXLINE",38067.6,38067.6,38067.6,1998,1998,"texline"
4982,"booker",3378,40963.6142505605,3004.46494284037,3004.46494284037,840,"83","104","BOOKER",1,34,19,1,1,"booker",83104,"BOOKER",38322.1,38322.1,38322.1,1998,1998,"booker"
5032,"moon lake",3417,50568.9270629652,4084.63284809599,4084.63284809599,840,"83","312","MOON LAKE",0,6,37,1,1,"moon lake",83312,"MOON LAKE",49014.2,49014.2,49014.2,1998,1998,"moon lake"
5039,"castolon",3424,32018.5265860843,4618.17305866906,4618.17305866906,840,"83","319","CASTOLON",1,56,35,1,1,"castolon",83319,"CASTOLON",43288.6,43288.6,43288.6,1998,1998,"castolon"
5068,"easton",3453,33322.7412554254,1688.43373308014,1688.43373308014,840,"83","348","EASTON",0,4,25,1,1,"easton",83348,"EASTON",42966.3,42966.3,42966.3,1998,1998,"easton"
5077,"smyrna",3462,2735.41840678848,24789.5051325718,2735.41840678848,840,"83","357","SMYRNA",0,4,25,1,1,"smyrna",83357,"SMYRNA",37115.6,37115.6,37115.6,1998,1998,"smyrna"
5132,"salt springs",3500,6081.11949624279,48008.1002008243,6081.11949624279,840,"85","004","SALT SPRINGS",1,80,9,1,1,"salt springs",85004,"SALT SPRINGS",39729.1,39729.1,39729.1,1998,1998,"salt springs"
5134,"beck",3502,4125.93362009054,15693.2315323775,4125.93362009054,840,"85","006","BECK",0,62,16,1,1,"beck",85006,"BECK",35986.5,35986.5,35986.5,1998,1998,"beck"
5148,"navajo lake",3515,2892.83230483582,31027.5625123929,2892.83230483582,840,"85","020","NAVAJO LAKE",1,62,16,1,1,"navajo lake",85020,"NAVAJO LAKE",44403.8,44403.8,44403.8,1998,1998,"navajo lake"
5154,"skyline driv",3521,2024.91969910973,39989.4630816162,2024.91969910973,840,"85","034","SKYLINE DRIV",1,62,16,1,1,"skyline driv",85034,"SKYLINE DRIV",43894.8,43894.8,43894.8,1998,1998,"skyline driv"
5204,"peplin mountain",3569,3568.1756676436,66419.6731429972,3568.1756676436,840,"85","251","PEPLIN MOUNTAIN",1,80,9,1,1,"peplin mountain",85251,"PEPLIN MOUNTAIN",53464.309,53464.31,53464.31,2001,2001,"peplin mountain"
5223,"pine creek",3588,1032.68285972555,29898.4426113133,1032.68285972555,840,"85","315","PINE CREEK",1,88,9,1,1,"pine creek",85315,"PINE CREEK",69579.8,69579.8,69579.8,1998,1998,"pine creek"
5226,"canyon rims",3591,49982.8243221221,4583.19283322311,4583.19283322311,840,"85","318","CANYON RIMS",1,87,16,1,1,"canyon rims",85318,"CANYON RIMS",47520.7,47520.7,47520.7,1998,1998,"canyon rims"
5227,"newcastle",3592,35852.4005896267,18176.4762790771,18176.4762790771,840,"85","319","NEWCASTLE",1,88,9,1,1,"newcastle",85319,"NEWCASTLE",29934,29934,29934,1998,1998,"newcastle"
5260,"middlesex",3622,1916.60524946305,32875.2287437603,1916.60524946305,840,"87","014","MIDDLESEX",1,28,14,1,1,"middlesex",87014,"MIDDLESEX",40448.6,40448.6,40448.6,1998,1998,"middlesex"
5267,"hinesburg",3629,13818.8183681065,13819.403595134,13818.8183681065,840,"87","021","HINESBURG",0,18,13,1,1,"hinesburg",87021,"HINESBURG",39936.051,39936.05,39936.05,2001,2001,"hinesburg"
5269,"grand isle",3631,2750.90469153334,25998.5941153178,2750.90469153334,840,"87","023","GRAND ISLE",1,18,13,1,1,"grand isle",87023,"GRAND ISLE",44863,44863,44863,1998,1998,"grand isle"
5292,"big island",3654,1429.73202742245,2760.55617049202,1429.73202742245,840,"88","020","BIG ISLAND",1,11,29,1,1,"big island",88020,"BIG ISLAND",41720.8,41720.9,41720.9,1998,1998,"big island"
5321,"moran",3683,42930.4506837605,3204.46014650064,3204.46014650064,840,"88","049","MORAN",1,11,29,1,1,"moran",88049,"MORAN",42345.2,42345.2,42345.2,1998,1998,"moran"
5415,"hurricane rg",3769,1103.1843633882,21163.547173641,1103.1843633882,840,"89","053","HURRICANE RG",1,93,5,1,1,"hurricane rg",89053,"HURRICANE RG",50638.4,50638.4,50638.4,1998,1998,"hurricane rg"
5441,"rainier",3795,4328.56124304731,35045.8745397018,4328.56124304731,840,"89","079","RAINIER",1,93,5,1,1,"rainier",89079,"RAINIER",37504,37504,37504,1998,1998,"rainier"
5443,"yakima",3797,3120.3840005983,50145.0648934354,3120.3840005983,840,"89","081","YAKIMA",1,89,9,1,1,"yakima",89081,"YAKIMA",45924,45924,45924,1998,1998,"yakima"
5468,"cascade riv",3815,3454.33954110426,42447.8213350041,3454.33954110426,840,"89","902","CASCADE RIV",0,67,9,1,2,"cascade riv",89902,"CASCADE RIV",37124.7,37124.7,37124.7,1998,1998,"cascade riv"
5498,"olcott",3845,1331.22428640787,28389.5314060594,1331.22428640787,840,"90","021","OLCOTT",1,21,28,1,1,"olcott",90021,"OLCOTT",39334.5,39334.5,39334.5,1998,1998,"olcott"
5532,"henderson",3878,2236.35464142484,28784.8246774969,2236.35464142484,840,"90","112","HENDERSON",1,22,28,1,1,"henderson",90112,"HENDERSON",38898.4,38898.4,38898.4,1998,1998,"henderson"
5543,"glade run 2",3889,4809.53804878095,15588.2686344952,4809.53804878095,840,"90","951","GLADE RUN 2",1,24,28,1,2,"glade run 2",90951,"GLADE RUN 2",37126.364,37126.36,37126.36,2011,2011,"glade run 2"
5590,"clintonville",3936,2315.7044639135,48443.6134129764,2315.7044639135,840,"91","047","CLINTONVILLE",1,20,23,1,1,"clintonville",91047,"CLINTONVILLE",38963.3,38963.3,38963.3,1998,1998,"clintonville"
