"CountryNum","StateNum","Route","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","year","aridlands"
840,6,65,"TONTO VILL.",1,34.3566847,-111.1008299,84,34,1,1,2011,0.0475599913384122
840,6,66,"FOREST LAKES",1,34.694845,-110.777909,84,34,1,1,2011,0.326892421696609
840,6,67,"PINETOP",1,34.1153987,-109.9154509,84,34,1,1,2011,0.198478283842333
840,6,68,"CIBOLA LAKE",1,33.24469,-114.66142,82,33,1,1,2011,0.831422621213959
840,6,69,"GILA BEND",1,33.2869987,-112.9375459,82,33,1,1,2011,0.998120818575364
840,6,70,"PALO VERDE",0,33.3339864,-112.677217,82,33,1,1,2011,0.542310655303577
840,6,71,"BARTLETT RES",1,33.8177037,-111.6398389,82,34,1,1,2011,0.936272141706924
840,6,72,"CUTTER",0,33.1754789,-110.5290913,82,34,1,1,2011,0.965228731016018
840,6,73,"ALPINE",1,33.866935,-109.1652,84,34,1,1,2011,0.249524736866509
840,6,74,"ARABY",1,32.8548017,-114.4452209,82,33,1,1,2011,0.194985404417541
840,6,76,"PISINIMO",0,32.1764407,-112.2624969,82,33,1,1,2011,0.970283310405327
840,6,77,"RED ROCK",0,32.57312,-111.3291239,82,33,1,1,2011,0.891003578288467
840,6,78,"REDINGTON",1,32.5434377,-110.5053099,81,34,1,1,2011,0.923261690894988
840,6,79,"MT. GRAHAM",1,32.6498267,-109.8181145,81,34,1,1,2011,0.169116816472753
840,6,80,"CABEZA PRIET",1,32.4009815,-112.9321083,82,33,1,1,2011,0.972325069905724
840,6,81,"AMADO",1,31.7120327,-111.0671459,81,34,1,1,2011,0.93424029646967
840,6,82,"SAHUARITA",1,31.9576267,-110.9446259,81,34,1,1,2011,0.917542935610692
840,6,83,"MCNEAL",1,31.6464055,-109.4732045,56,34,1,1,2011,0.950871537215025
840,6,84,"Wickenburg",1,33.962204,-112.77163,82,33,1,1,2011,NA
840,6,101,"NAVAJO TRAIL",1,36.6901017,-113.4587859,87,16,1,1,2011,0.997831833684965
840,6,103,"KAIBITO",1,36.6095467,-111.0768659,87,16,1,1,2011,0.990921061014717
840,6,105,"TSAILE",1,36.3019687,-109.1965869,84,16,1,1,2011,0.151548901782014
840,6,106,"WILLOW BEACH",0,35.8663787,-114.6619869,83,33,1,1,2011,0.98413739949173
840,6,107,"PEACH SPRING",1,35.5541565,-113.3760172,87,16,1,1,2011,0.949727099015023
840,6,108,"SELIGMAN",1,35.2307957,-112.5859679,87,16,1,1,2011,0.938000298845177
840,6,115,"HAPPY JACK",1,34.838905,-111.438129,84,34,1,1,2011,0.0664356750474227
840,6,116,"CLAY SPRING",1,34.6116178,-110.3781682,84,34,1,1,2011,0.885708856349567
840,6,119,"HOPE",0,33.9225847,-113.8247909,82,33,1,1,2011,0.889512399822272
840,6,121,"CASA GRANDE",0,33.0385437,-111.3789069,82,33,1,1,2011,0.847992332320493
840,6,122,"CARR MTN",1,33.5656117,-110.9464649,81,34,1,1,2011,0.712493599590374
840,6,123,"SPRUCEDALE",1,33.6103817,-109.1063079,84,34,1,1,2011,0.113703551027619
840,6,126,"Ajo 2",0,32.4655,-112.86988,82,33,1,1,2011,0.936795504120864
840,6,127,"CACTUS FOREST",1,32.9583127,-111.3334729,82,33,1,1,2011,0.289632092487559
840,6,130,"ORGAN PIPE",1,31.9571917,-112.7999879,82,33,1,1,2011,0.997866525203833
840,6,133,"PORTAL",1,31.9825267,-109.2013399,81,34,1,1,2011,0.481619328286164
840,6,161,"KLAGETOH",1,35.541864,-109.322969,87,16,1,1,2011,0.741201142019758
840,6,164,"Skull Valley 2",1,34.800807,-112.87945,87,34,1,1,2011,NA
840,6,170,"PALO VERDE 2",1,33.3339864,-112.677217,82,33,1,1,2011,0.542310655303577
840,6,172,"CUTTER 2",1,33.178809,-110.215069,82,33,1,1,2011,NA
840,6,176,"BATES WELL",1,32.3559327,-112.8270799,82,33,1,1,2011,0.86769969769469
840,6,177,"RED ROCK 2",1,32.57312,-111.329123,82,33,1,1,2011,0.891003578288467
840,6,206,"WILLOW BEACH 2",1,35.8663187,-114.6620259,83,33,1,1,2011,0.984831524626243
840,6,219,"HOPE 2",1,33.922985,-113.837239,82,33,1,1,2011,NA
840,6,233,"SUNIZONA 2",1,31.75871,-109.73797,81,34,1,1,2011,NA
840,6,900,"DRAGOON",0,31.9197167,-109.9150009,81,34,1,2,2011,0.898306095669808
840,6,901,"RUCKER",0,31.6064617,-109.2258228,81,34,1,2,2011,0.578435454398261
840,7,1,"OLD MILO",1,33.311764,-91.890543,4,25,1,1,2011,0.0586190096554168
