"CountryNum","StateNum","Route","RouteName","Active","Stratum","BCR","RouteTypeID","RouteTypeDetailID","pt_id","name_clean","rteno","RTENAME","SUM_ARC_LE","MIN_rte_le","MAX_rte_le","MIN_date_a","MAX_date_a","line_id","name_clean.line","name_similarity","dist_to_line"
840,"02","040","DAUPHIN IS",0,3,27,1,1,40,"dauphin is",2040,"DAUPHIN IS",45708.254,45708.25,45708.25,2001,2001,38,"dauphin is",1,614.239174089718
840,"02","041","ALABAMA PT",0,3,27,1,1,41,"alabama pt",2041,"ALABAMA PT",42733.4,42733.4,42733.4,1998,1998,39,"alabama pt",1,23.0008204712819
840,"02","042","FOLEY",0,3,27,1,1,42,"foley",2042,"FOLEY",40480.973,40480.97,40480.97,2001,2001,40,"foley",1,0.964469954894275
840,"02","043","BLOCTON",1,13,27,1,1,43,"blocton",2043,"BLOCTON",38624.8,38624.8,38624.8,1998,1998,41,"blocton",1,1.03876323807872
840,"02","044","BIRMINGHAM",0,13,28,1,1,44,"birmingham",2044,"BIRMINGHAM",42528.121,42528.12,42528.12,2001,2001,42,"birmingham",1,5.94515109237044
840,"02","045","WHITEHOUSE",1,4,27,1,1,45,"whitehouse",2045,"WHITEHOUSE",48357.2,48357.2,48357.2,1998,1998,43,"whitehouse",1,1.15329904497221
840,"02","046","GUNTERSVILLE",1,13,28,1,1,46,"guntersville",2046,"GUNTERSVILLE",39668.1,39668.1,39668.1,1998,1998,44,"guntersville",1,0.779128617139407
840,"02","047","JENA",1,4,27,1,1,47,"jena",2047,"JENA",39899.9,39899.9,39899.9,1998,1998,45,"jena",1,2.26500343857187
840,"02","048","EPES",1,4,27,1,1,48,"epes",2048,"EPES",40023.6,40023.6,40023.6,1998,1998,46,"epes",1,145.344034730521
840,"02","049","WEDGEWORTH",1,4,27,1,1,49,"wedgeworth",2049,"WEDGEWORTH",40977,40977,40977,1998,1998,47,"wedgeworth",1,146.580207345887
840,"02","050","WHITEHALL",1,4,27,1,1,50,"whitehall",2050,"WHITEHALL",37352.3,37352.3,37352.3,1998,1998,48,"whitehall",1,22.9759169178453
840,"02","051","LIBERTY CITY",0,11,29,1,1,51,"liberty city",2051,"LIBERTY CITY",38701,38701,38701,1998,1998,49,"liberty city",1,10.2199464064532
840,"02","052","ESCATAWPA",1,4,27,1,1,52,"escatawpa",2052,"ESCATAWPA",40825.3,40825.3,40825.3,1998,1998,50,"escatawpa",1,9.44016895109509
840,"02","053","GROVE HILL",1,4,27,1,1,53,"grove hill",2053,"GROVE HILL",41118.4,41118.4,41118.4,1998,1998,51,"grove hill",1,0.842952464524949
840,"02","054","FAIRVIEW",1,4,27,1,1,54,"fairview",2054,"FAIRVIEW",40364.4,40364.4,40364.4,1998,1998,52,"fairview",1,15.1230165610486
840,"02","055","ELAMVILLE",1,4,27,1,1,55,"elamville",2055,"ELAMVILLE",38981.2,38981.2,38981.2,1998,1998,53,"elamville",1,0.348345776021145
840,"02","056","CHILDERSBURG",0,13,28,1,1,56,"childersburg",2056,"CHILDERSBURG",39797.6,39797.6,39797.6,1998,1998,54,"childersburg",1,0.717580002105245
840,"02","057","YOUNGTOWN",1,13,28,1,1,57,"youngtown",2057,"YOUNGTOWN",47952.1,47952.1,47952.1,1998,1998,55,"youngtown",1,0.166146863226386
840,"02","058","MENTONE",1,13,28,1,1,58,"mentone",2058,"MENTONE",53902.6,53902.6,53902.6,1998,1998,56,"mentone",1,63.0964456286094
840,"02","059","CARROLLTON",1,4,27,1,1,59,"carrollton",2059,"CARROLLTON",32598,32598,32598,1998,1998,57,"carrollton",1,297.756842196574
840,"02","060","HOLT",1,4,27,1,1,60,"holt",2060,"HOLT",42480.5,42480.5,42480.5,1998,1998,58,"holt",1,10.4492141138325
840,"02","061","ODENVILLE",1,13,28,1,1,61,"odenville",2061,"ODENVILLE",46215.5,46215.5,46215.5,1998,1998,59,"odenville",1,3.48627347586462
840,"02","062","BORDEN SPRNG",0,11,28,1,1,62,"borden sprng",2062,"BORDEN SPRNG",40167.1,40167.1,40167.1,1998,1998,60,"borden sprng",1,0.369218236456999
840,"02","063","ROCK CHAPEL",1,4,27,1,1,63,"rock chapel",2063,"ROCK CHAPEL",47328.9,47328.9,47328.9,1998,1998,61,"rock chapel",1,1.00749708478767
840,"02","064","NIXBURG",0,11,29,1,1,64,"nixburg",2064,"NIXBURG",44063.2,44063.2,44063.2,1998,1998,62,"nixburg",1,0.719312392324597
840,"02","065","CALEBEE",1,4,27,1,1,65,"calebee",2065,"CALEBEE",42561.1,42561.1,42561.1,1998,1998,63,"calebee",1,19.7044826885802
840,"02","066","APPLETON",1,4,27,1,1,66,"appleton",2066,"APPLETON",48905.1,48905.1,48905.1,1998,1998,64,"appleton",1,2.15452939593034
840,"02","067","MT. GILEAD",1,4,27,1,1,67,"mt gilead",2067,"MT. GILEAD",51129,51129,51129,1998,1998,65,"mt gilead",1,18.030250406167
840,"02","068","MADRID",1,4,27,1,1,68,"madrid",2068,"MADRID",42572.5,42572.5,42572.5,1998,1998,66,"madrid",1,39.152322147999
840,"02","069","GEORGETOWN",1,4,27,1,1,69,"georgetown",2069,"GEORGETOWN",38479.4,38479.4,38479.4,1998,1998,67,"georgetown",1,0.249994905060752
840,"02","070","BON SECOUR",1,3,27,1,1,70,"bon secour",2070,"BON SECOUR",38637.2,38637.2,38637.2,1998,1998,68,"bon secour",1,514.762233282942
840,"02","071","WHEELER DAM",1,14,24,1,1,71,"wheeler dam",2071,"WHEELER DAM",37331.3,37331.3,37331.3,1998,1998,69,"wheeler dam",1,98.8652361528237
840,"02","072","ELKMONT",1,14,24,1,1,72,"elkmont",2072,"ELKMONT",39658.1,39658.1,39658.1,1998,1998,70,"elkmont",1,0.837574352584785
840,"02","073","WOODVILLE",1,21,28,1,1,73,"woodville",2073,"WOODVILLE",41350.3,41350.3,41350.3,1998,1998,71,"woodville",1,0.674070468259817
840,"02","102","COURTLAND",1,14,24,1,1,75,"courtland",2102,"COURTLAND",46160,46160,46160,1998,1998,72,"courtland",1,15.0306123827794
840,"02","105","BROOKSVILLE",1,13,28,1,1,76,"brooksville",2105,"BROOKSVILLE",41326.3,41326.3,41326.3,1998,1998,73,"brooksville",1,3.91973324562802
840,"02","106","VALHERMOSO SPG 2",0,14,24,1,1,77,"valhermoso spg 2",2006,"VALHRMSA SPG",46576,46576,46576,1998,1998,5,"valhrmsa spg",0.868055555555555,6.30249737058807
840,"02","109","LAKEVIEW",1,13,28,1,1,78,"lakeview",2109,"LAKEVIEW",41067.672,41067.67,41067.67,2001,2001,74,"lakeview",1,31.1356451558693
840,"02","111","CHOCCOLOCCO",1,13,28,1,1,79,"choccolocco",2111,"CHOCCOLOCCO",40479.5,40479.5,40479.5,1998,1998,75,"choccolocco",1,184.783827928673
840,"02","137","LATHAM 2",1,4,27,1,1,80,"latham 2",2137,"LATHAM II",46820.504,46820.49,46820.49,2011,2011,76,"latham ii",0.884259259259259,9.87764367089632
840,"02","140","DAUPHIN IS 2",0,3,27,1,1,81,"dauphin is 2",2040,"DAUPHIN IS",45708.254,45708.25,45708.25,2001,2001,38,"dauphin is",0.944444444444444,618.576198900047
840,"02","141","ALABAMA PT 2",0,3,27,1,1,82,"alabama pt 2",2141,"ALABAMA PT 2",42838.178,42838.17,42838.17,2011,2011,78,"alabama pt 2",1,69.7590819509614
840,"02","142","ELBERTA",1,3,27,1,1,83,"elberta",2142,"ELBERTA",39443.4,39443.4,39443.4,1998,1998,79,"elberta",1,19.2258989636099
840,"02","156","KYMULGA",1,13,28,1,1,85,"kymulga",2156,"KYMULGA",46162.547,46162.55,46162.55,2001,2001,80,"kymulga",1,0.865785031898622
840,"02","162","Borden Springs 2",1,11,28,1,1,86,"borden springs 2",2162,"BORDEN SPRINGS II",39287.725,39287.72,39287.72,2011,2011,81,"borden springs ii",0.939950980392157,1.7824577583505
840,"02","164","NIXBURG 2",1,11,29,1,1,87,"nixburg 2",2164,"NIXBURG 2",48665.266,48665.26,48665.26,2011,2011,82,"nixburg 2",1,19.3675418332827
840,"02","201","VINA",1,4,27,1,1,88,"vina",2201,"VINA",40307.9,40307.9,40307.9,1998,1998,83,"vina",1,0.921869799775198
840,"02","203","CARTER GROVE",1,14,24,1,1,89,"carter grove",2203,"CARTER GROVE",49362.5,49362.5,49362.5,1998,1998,84,"carter grove",1,3.01394928560546
840,"02","204","STEVENSON",1,13,28,1,1,90,"stevenson",2204,"STEVENSON",44896.5,44896.5,44896.5,1998,1998,85,"stevenson",1,0.833959368470444
840,"02","206","JASPER",0,13,28,1,1,92,"jasper",2206,"JASPER",48351.1,48351.1,48351.1,1998,1998,87,"jasper",1,51.7608095452931
840,"02","207","ONEONTA",1,13,28,1,1,93,"oneonta",2207,"ONEONTA",39705.8,39705.8,39705.8,1998,1998,88,"oneonta",1,12.6206697306181
